A,B
"(420, -60, -9, 0)","[199.9583379483248, 0, 352]"
"(420, -50, -8, 0)","[199.95558677197897, 0, 350]"
"(420, -40, -7, 0)","[199.96315542704292, 0, 350]"
"(350, -40, -6, 0)","[199.9517524579628, 0, 361]"
"(350, -30, -5, 0)","[199.9599766798355, 0, 353]"
"(350, -30, -4, 0)","[199.9460732280512, 0, 352]"
"(350, -30, -3, 0)","[199.94144306032828, 0, 360]"
"(350, -20, -2, 0)","[199.95340346932332, 0, 350]"
"(350, -20, -1, 0)","[199.95265183123598, 0, 353]"
"(350, -20, 0, 0)","[199.95226612257974, 0, 353]"
"(350, -20, 1, 0)","[199.95189299367968, 0, 350]"
"(350, -30, 2, 0)","[199.92927911276607, 0, 360]"
"(350, -30, 3, 0)","[199.92986819716398, 0, 352]"
"(350, -30, 4, 0)","[199.9467186425437, 0, 353]"
"(350, -40, 5, 0)","[199.91797176026614, 0, 361]"
"(350, -40, 6, 0)","[199.94467680229639, 0, 350]"
"(350, -50, 7, 0)","[199.91511786780183, 0, 350]"
"(350, -60, 8, 0)","[199.90855504215358, 0, 352]"
"(350, -70, 9, 0)","[199.8996021721662, 0, 361]"
"(350, -80, 10, 0)","[199.93073278267377, 0, 706]"
"(350, -90, 10, 0)","[199.88484052097445, 0, 472]"
"(280, -120, -9, 0)","[199.8574813708483, 0, 433]"
"(280, -110, -8, 0)","[199.85021422483038, 0, 361]"
"(280, -100, -7, 0)","[199.84415643545168, 0, 260]"
"(280, -100, -6, 0)","[199.83726391909323, 0, 472]"
"(280, -90, -5, 0)","[199.82867289421495, 0, 295]"
"(280, -90, -4, 0)","[199.81909118497356, 0, 433]"
"(280, -90, -3, 0)","[199.80819606732155, 0, 331]"
"(280, -80, -2, 0)","[199.8069419128232, 0, 260]"
"(280, -80, -1, 0)","[199.79740407544836, 0, 295]"
"(280, -80, 0, 0)","[199.78635189904753, 0, 295]"
"(280, -80, 1, 0)","[199.78198024097276, 0, 260]"
"(280, -90, 2, 0)","[199.7685528243294, 0, 331]"
"(280, -90, 3, 0)","[199.76298373042104, 0, 433]"
"(210, -90, 4, 0)","[199.75047160571881, 0, 184]"
"(210, -100, 5, 0)","[199.74255792944635, 0, 472]"
"(210, -100, 6, 0)","[199.73167396160295, 0, 260]"
"(210, -110, 7, 0)","[199.72208397650584, 0, 361]"
"(210, -120, 8, 0)","[199.7084193384131, 0, 433]"
"(210, -130, 9, 0)","[-49.835476531477994, 199.6938755084357, 472]"
"(210, -140, 10, 0)","[-69.94632402888509, -849.5623648591152, 3]"
"(210, -140, -9, 0)","[80.7411279713428, 0, 2]"
"(210, -130, -8, 0)","[76.80984039705189, 0, 2]"
"(210, -120, -7, 0)","[60.510874248802594, 0, 1]"
"(210, -120, -6, 0)","[74.05038294431071, 0, 2]"
"(210, -110, -5, 0)","[59.95291289519735, 0, 1]"
"(210, -110, -4, 0)","[70.33287257285204, 0, 2]"
"(210, -110, -3, 0)","[64.77813023501668, 0, 2]"
"(210, -100, -2, 0)","[58.70809455016452, 0, 1]"
"(210, -100, -1, 0)","[58.144989411414244, 0, 1]"
"(140, -100, 1, 0)","[50.96696242785899, 0, 1]"
"(140, -110, 2, 0)","[55.46194063218911, 0, 2]"
"(140, -110, 3, 0)","[48.60862020296404, 0, 2]"
"(140, -110, 4, 0)","[44.3268665712245, 0, 1]"
"(140, -120, 5, 0)","[37.29959008520427, 0, 2]"
"(140, -120, 6, 0)","[37.80969622723308, 0, 1]"
"(140, -130, 7, 0)","[22.56529842693802, 0, 2]"
"(140, -140, 8, 0)","[11.909117452566754, 0, 2]"
"(140, -150, 9, 0)","[-713.3702309235789, 0, 2]"
"(140, -160, 10, 0)","[-890.515536182376, -848.6054144775833, 3]"
"(140, -170, 10, 0)","[62.85833799633781, 0, 2]"
"(140, -180, 10, 0)","[-899.9100000000001, 0, 1]"
"(140, -240, 10, 0)","[-6.639384637206746, 0, 2]"
"(420, -10, -7, 0)","[199.9817460953554, 0, 351]"
"(350, 0, -5, 0)","[199.98000602665576, 0, 348]"
"(350, 10, -2, 0)","[199.9767541236081, 0, 351]"
"(350, 10, -1, 0)","[199.9758353921648, 0, 348]"
"(350, 10, 0, 0)","[199.9749292349115, 0, 348]"
"(350, 10, 1, 0)","[199.97402911392032, 0, 351]"
"(350, 0, 4, 0)","[199.97048643399575, 0, 348]"
"(350, -10, 6, 0)","[199.96846612028025, 0, 351]"
"(280, -70, -9, 0)","[199.94252888385992, 0, 359]"
"(280, -60, -8, 0)","[199.93836971767388, 0, 362]"
"(280, -50, -7, 0)","[199.9412380903862, 0, 347]"
"(280, -50, -6, 0)","[199.9316438812163, 0, 359]"
"(280, -40, -5, 0)","[199.93577275793675, 0, 362]"
"(280, -40, -4, 0)","[199.92613968531373, 0, 359]"
"(280, -40, -3, 0)","[199.91996605758922, 0, 353]"
"(280, -30, -2, 0)","[199.93254731564167, 0, 347]"
"(280, -30, -1, 0)","[199.92653990973957, 0, 362]"
"(280, -30, 0, 0)","[199.92143408964043, 0, 360]"
"(280, -30, 1, 0)","[199.9164369516241, 0, 344]"
"(280, -40, 2, 0)","[199.90426820801858, 0, 352]"
"(280, -40, 3, 0)","[199.89859350674752, 0, 357]"
"(280, -40, 4, 0)","[199.90432661669848, 0, 358]"
"(280, -50, 5, 0)","[199.88875807977507, 0, 358]"
"(210, -50, 6, 0)","[36.26212052444806, 0, 6]"
"(210, -60, 7, 0)","[199.88349112212524, 0, 362]"
"(210, -70, 8, 0)","[199.87616118699535, 0, 359]"
"(210, -80, 9, 0)","[199.8696506931267, 0, 359]"
"(210, -90, 10, 0)","[-896.9566084484484, 199.8557004554891, 715]"
"(210, -100, 10, 0)","[-27.39962897462413, 199.79966256318144, 348]"
"(210, -110, 10, 0)","[16.691748136800005, 0, 1]"
"(210, -120, 10, 0)","[8.998800000000001, 0, 1]"
"(210, -130, 10, 0)","[-602.9481230865223, 0, 1]"
"(210, -130, -9, 0)","[199.6158758190649, 0, 40]"
"(210, -120, -8, 0)","[199.62634631770152, 0, 112]"
"(210, -110, -7, 0)","[199.64361521144627, 0, 212]"
"(210, -110, -6, 0)","[56.96524617795771, 0, 1]"
"(210, -100, -5, 0)","[199.55955174656776, 0, 177]"
"(210, -100, -4, 0)","[199.53249197737102, 0, 40]"
"(210, -100, -3, 0)","[53.93434275020597, 0, 1]"
"(210, -90, -2, 0)","[199.54731894364704, 0, 212]"
"(140, -90, -1, 0)","[199.23827244231543, 0, 346]"
"(140, -90, 0, 0)","[198.21305849178154, 0, 177]"
"(140, -90, 1, 0)","[46.88854618049775, 0, 1]"
"(140, -100, 2, 0)","[44.32140212905317, 0, 1]"
"(140, -100, 3, 0)","[199.345766875841, 0, 40]"
"(140, -100, 4, 0)","[199.34568255848495, 0, 177]"
"(140, -110, 5, 0)","[33.69695207129173, 0, 1]"
"(140, -110, 6, 0)","[199.37805510729675, 0, 212]"
"(140, -120, 7, 0)","[199.16985363041707, 0, 112]"
"(140, -130, 8, 0)","[199.1302654016934, 0, 40]"
"(140, -140, 9, 0)","[8.998800000000001, 0, 1]"
"(140, -150, 10, 0)","[-899.8800000000001, -7.558566839734297, 3]"
"(420, 30, -9, 0)","[199.98798063321365, 0, 366]"
"(420, 40, -8, 0)","[199.98752299673873, 0, 349]"
"(420, 50, -7, 0)","[199.98778898454387, 0, 337]"
"(350, 50, -6, 0)","[199.98742582967932, 0, 380]"
"(350, 60, -5, 0)","[199.98704793697647, 0, 341]"
"(350, 60, -4, 0)","[199.98591143325308, 0, 366]"
"(350, 60, -3, 0)","[199.98615113655896, 0, 377]"
"(350, 70, -2, 0)","[199.98596441768183, 0, 337]"
"(350, 70, -1, 0)","[199.98551234353766, 0, 341]"
"(350, 70, 0, 0)","[199.9850262056062, 0, 341]"
"(350, 70, 1, 0)","[199.98449760966463, 0, 337]"
"(350, 60, 2, 0)","[199.98351492416805, 0, 377]"
"(350, 60, 3, 0)","[199.9827369473842, 0, 366]"
"(350, 60, 4, 0)","[199.9828138029682, 0, 341]"
"(350, 50, 5, 0)","[199.98160599639246, 0, 380]"
"(350, 50, 6, 0)","[199.98153918179318, 0, 337]"
"(350, 40, 7, 0)","[199.97987046354746, 0, 349]"
"(350, 30, 8, 0)","[199.97920588188495, 0, 366]"
"(350, 20, 9, 0)","[199.978543148783, 0, 380]"
"(350, 0, 10, 0)","[199.97623293284795, 0, 740]"
"(210, -30, 0, 0)","[70.63098300538445, 0, 2]"
"(210, -30, 1, 0)","[70.90012927737246, 0, 3]"
"(210, -40, 2, 0)","[199.86851599337115, 0, 143]"
"(210, -40, 3, 0)","[63.94372180524574, 0, 2]"
"(210, -40, 4, 0)","[58.50031838220556, 0, 4]"
"(210, -50, 5, 0)","[44.680052759028484, 0, 1]"
"(420, -40, -9, 0)","[199.97669900090082, 0, 355]"
"(420, -30, -8, 0)","[199.97514116736792, 0, 358]"
"(420, -30, -7, 0)","[199.9698723444186, 0, 360]"
"(350, -20, -6, 0)","[199.97256389758894, 0, 357]"
"(350, -20, -5, 0)","[199.96725873994964, 0, 348]"
"(350, -10, -4, 0)","[199.97044689206058, 0, 355]"
"(350, -10, -3, 0)","[199.9684430097594, 0, 351]"
"(350, -10, -2, 0)","[199.96575559348145, 0, 360]"
"(350, -10, -1, 0)","[199.96387453263688, 0, 348]"
"(350, -10, 0, 0)","[199.96169931018116, 0, 348]"
"(350, -10, 1, 0)","[199.95903712090802, 0, 360]"
"(350, -10, 2, 0)","[199.96226574805775, 0, 351]"
"(350, -10, 3, 0)","[199.96045520110425, 0, 355]"
"(350, -20, 4, 0)","[199.95406646061468, 0, 348]"
"(350, -20, 5, 0)","[199.95713807064215, 0, 357]"
"(350, -30, 6, 0)","[199.94914690351575, 0, 360]"
"(350, -30, 7, 0)","[199.95458799367043, 0, 358]"
"(350, -40, 8, 0)","[199.9523763475923, 0, 355]"
"(350, -50, 9, 0)","[199.9503594456528, 0, 357]"
"(350, -70, 10, 0)","[199.93741505794662, 0, 702]"
"(280, -60, -7, 0)","[199.92198922630888, 0, 360]"
"(280, -50, -5, 0)","[199.91394709920235, 0, 348]"
"(280, -40, -2, 0)","[199.90817136226173, 0, 360]"
"(280, -40, -1, 0)","[199.90199896965512, 0, 348]"
