A,B
"(350, 0, -2, 0)","[199.97320905097158, 0, 317]"
"(350, 0, 1, 0)","[199.96661278114786, 0, 317]"
"(350, -20, 6, 0)","[199.9546443013191, 0, 317]"
"(280, -110, -9, 0)","[199.89037867746063, 0, 775]"
"(280, -100, -8, 0)","[199.885304028889, 0, 607]"
"(280, -90, -6, 0)","[199.87433337341386, 0, 855]"
"(280, -80, -5, 0)","[199.86275243670696, 0, 466]"
"(280, -80, -4, 0)","[199.86323536216116, 0, 775]"
"(280, -80, -3, 0)","[199.85671361046462, 0, 638]"
"(280, -70, -1, 0)","[199.8372471717846, 0, 466]"
"(280, -70, 0, 0)","[199.83094886131624, 0, 466]"
"(280, -80, 1, 0)","[199.8288570876544, 0, 462]"
"(210, -80, 2, 0)","[199.496903333581, 0, 139]"
"(210, -80, 3, 0)","[58.06961166514712, 0, 2]"
"(210, -80, 4, 0)","[199.77813856690395, 0, 181]"
"(210, -90, 5, 0)","[199.80017500196203, 0, 759]"
"(210, -100, 7, 0)","[199.7798064308541, 0, 607]"
"(210, -110, 8, 0)","[199.76879360671057, 0, 775]"
"(210, -120, 9, 0)","[199.7572168554141, 0, 855]"
"(210, -130, 10, 0)","[-603.076191758406, 199.74505192460808, 856]"
"(210, -140, -9, 0)","[58.36843003880282, 0, 1]"
"(210, -130, -8, 0)","[69.881419583492, 0, 2]"
"(210, -130, -7, 0)","[57.00684660415556, 0, 1]"
"(210, -120, -6, 0)","[56.14835860135154, 0, 1]"
"(210, -110, -5, 0)","[65.33021778294831, 0, 2]"
"(210, -110, -4, 0)","[53.96991703614997, 0, 1]"
"(210, -110, -3, 0)","[52.59639419432745, 0, 1]"
"(140, -110, -2, 0)","[199.0376516380369, 0, 195]"
"(140, -100, -1, 0)","[198.97866779891518, 0, 98]"
"(140, -100, 0, 0)","[51.393650212791435, 0, 2]"
"(140, -110, 1, 0)","[44.34326428257935, 0, 1]"
"(140, -110, 2, 0)","[41.33715120769514, 0, 1]"
"(140, -110, 3, 0)","[37.82122948268437, 0, 1]"
"(140, -110, 4, 0)","[33.313847941125, 0, 2]"
"(140, -120, 5, 0)","[28.899462374999995, 0, 1]"
"(140, -130, 6, 0)","[23.274224999999994, 0, 1]"
"(140, -130, 7, 0)","[10.6695, 0, 2]"
"(140, -140, 8, 0)","[9.0, 0, 1]"
"(140, -150, 9, 0)","[-900.0, 0, 1]"
"(140, -160, 10, 0)","[-900.0, -849.2439667584059, 2]"
"(140, -170, 10, 0)","[93.11116306005273, 0, 1]"
"(420, -10, -8, 0)","[199.9791965255064, 0, 371]"
"(350, -10, 7, 0)","[199.9508003559085, 0, 371]"
"(210, -80, 0, 0)","[199.57283663263482, 0, 466]"
"(210, -130, -9, 0)","[199.3839935604066, 0, 81]"
"(210, -120, -7, 0)","[64.45302245477978, 0, 1]"
"(210, -110, -6, 0)","[64.8573362044208, 0, 1]"
"(210, -100, -4, 0)","[199.05258122210805, 0, 81]"
"(140, -100, -3, 0)","[198.83396721122188, 0, 217]"
