A,B
"(210, -100, 10, 0)","[196.43191307060425, 0, 283]"
"(210, -110, 10, 0)","[-900.0, 196.3235189655727, 283]"
"(210, -120, 10, 0)","[-900.0, -848.1670598256261, 2]"
"(210, -130, 10, 0)","[49.963330534584806, 0, 2]"
"(420, 60, -7, 0)","[199.99612630439788, 0, 262]"
"(350, 80, -2, 0)","[199.99561761443942, 0, 262]"
"(350, 80, 1, 0)","[199.9947362518727, 0, 262]"
"(350, 60, 6, 0)","[199.99340376388022, 0, 262]"
"(280, -60, -9, 0)","[105.1416312996042, 0, 2]"
"(280, -50, -8, 0)","[105.55687781437025, 0, 2]"
"(280, -40, -7, 0)","[106.10530387191811, 0, 4]"
"(280, -40, -6, 0)","[57.00684660415556, 0, 1]"
"(280, -30, -5, 0)","[94.63978851257542, 0, 4]"
"(280, -30, -4, 0)","[88.01772165442289, 0, 2]"
"(280, -30, -3, 0)","[199.74492258446952, 0, 172]"
"(280, -20, -2, 0)","[78.68611588469977, 0, 4]"
"(280, -20, -1, 0)","[89.17587290254669, 0, 3]"
"(210, -20, 0, 0)","[143.10946190284625, 0, 11]"
"(210, -20, 1, 0)","[142.48465659330654, 0, 13]"
"(210, -30, 2, 0)","[101.38822774292517, 0, 3]"
"(210, -30, 3, 0)","[54.89239106638986, 0, 2]"
"(210, -30, 4, 0)","[48.84055666154427, 0, 3]"
"(210, -40, 5, 0)","[33.709040330624994, 0, 1]"
"(210, -40, 6, 0)","[27.72234939291152, 0, 4]"
"(210, -50, 7, 0)","[11.327422499999999, 0, 2]"
"(210, -60, 8, 0)","[-707.3731791157096, 0, 2]"
"(210, -70, 9, 0)","[9.0, 0, 1]"
"(210, -80, 10, 0)","[-900.0, 28.001724100158768, 3]"
"(420, 10, -9, 0)","[199.98962913074698, 0, 282]"
"(420, 20, -8, 0)","[199.98924457929067, 0, 304]"
"(420, 30, -7, 0)","[199.9934663095911, 0, 306]"
"(350, 40, -5, 0)","[199.9931239525806, 0, 293]"
"(350, 40, -4, 0)","[199.985491669163, 0, 282]"
"(350, 50, -2, 0)","[199.99230106723297, 0, 306]"
"(350, 50, -1, 0)","[199.9924300388786, 0, 293]"
"(350, 50, 0, 0)","[199.99270366414015, 0, 293]"
"(350, 50, 1, 0)","[199.99316331277197, 0, 306]"
"(350, 40, 3, 0)","[199.98862560210122, 0, 282]"
"(350, 40, 4, 0)","[199.99319418621636, 0, 293]"
"(350, 30, 6, 0)","[199.99303267112353, 0, 306]"
"(350, 20, 7, 0)","[199.9875217875968, 0, 304]"
"(350, 10, 8, 0)","[199.98778261625816, 0, 282]"
"(280, -50, -9, 0)","[123.70596583874759, 0, 6]"
"(280, -40, -8, 0)","[132.43869632599996, 0, 8]"
"(280, -30, -7, 0)","[130.28456092175435, 0, 6]"
"(280, -30, -6, 0)","[100.6939744851304, 0, 6]"
"(280, -20, -5, 0)","[127.93141705169229, 0, 6]"
"(280, -20, -4, 0)","[114.64584382539532, 0, 6]"
"(280, -20, -3, 0)","[85.96876461734745, 0, 5]"
"(280, -10, -2, 0)","[125.93821836958112, 0, 6]"
"(280, -10, -1, 0)","[123.94621050812232, 0, 5]"
"(280, -10, 0, 0)","[105.62524600920602, 0, 4]"
"(280, -10, 1, 0)","[104.17764253338309, 0, 4]"
"(280, -20, 2, 0)","[94.73268914277112, 0, 3]"
"(280, -20, 3, 0)","[103.19321753459691, 0, 4]"
"(210, -20, 4, 0)","[199.92260293902754, 0, 273]"
"(210, -30, 5, 0)","[78.17942912660547, 0, 8]"
"(210, -30, 6, 0)","[199.87386251196597, 0, 151]"
"(210, -40, 7, 0)","[122.58376548291675, 0, 8]"
"(210, -50, 8, 0)","[-505.47958470062616, 109.06000498264338, 6]"
"(210, -60, 9, 0)","[-1687.5878326326865, -839.8159989657422, 4]"
"(210, -70, 10, 0)","[-1697.4985303795202, 157.34045715415144, 13]"
"(210, -70, -9, 0)","[59.75603324159402, 0, 1]"
"(210, -60, -8, 0)","[156.1267136411957, 0, 6]"
"(210, -50, -7, 0)","[155.60142521297132, 0, 6]"
"(210, -50, -6, 0)","[58.36843003880282, 0, 1]"
"(210, -40, -5, 0)","[153.06690920866166, 0, 6]"
"(210, -40, -4, 0)","[57.00684660415556, 0, 1]"
"(210, -40, -3, 0)","[199.55446291601206, 0, 172]"
"(210, -30, -2, 0)","[148.626880986791, 0, 4]"
"(210, -30, -1, 0)","[148.21295352068836, 0, 4]"
"(210, -30, 0, 0)","[147.6075059963439, 0, 4]"
"(140, -30, 1, 0)","[146.72999541833946, 0, 4]"
