A,B
"(280, -50, 1, 0)","[199.9085257423696, 0, 224]"
"(280, -50, 2, 0)","[199.90762840871517, 0, 301]"
"(280, -50, 3, 0)","[199.90340764075302, 0, 407]"
"(280, -50, 4, 0)","[199.89907841647033, 0, 338]"
"(280, -60, 5, 0)","[199.89514185839388, 0, 364]"
"(280, -70, 6, 0)","[199.88290172893795, 0, 224]"
"(210, -70, 7, 0)","[199.8863438882413, 0, 483]"
"(210, -80, 8, 0)","[199.8811457156915, 0, 407]"
"(210, -90, 9, 0)","[199.87610380579088, 0, 364]"
"(210, -90, -9, 0)","[199.86578472061996, 0, 407]"
"(210, -80, -8, 0)","[199.8605991558523, 0, 483]"
"(210, -80, -7, 0)","[199.8377654070663, 0, 224]"
"(210, -70, -6, 0)","[199.84804102773006, 0, 364]"
"(210, -60, -5, 0)","[199.84246501844638, 0, 546]"
"(210, -60, -4, 0)","[199.8356789374368, 0, 407]"
"(210, -60, -3, 0)","[199.83004740606472, 0, 301]"
"(210, -60, -2, 0)","[199.79525658455634, 0, 224]"
"(210, -50, -1, 0)","[199.8177048229645, 0, 546]"
"(210, -50, 0, 0)","[199.81064409500323, 0, 546]"
"(210, -60, 1, 0)","[199.76471126504666, 0, 224]"
"(210, -60, 2, 0)","[199.7964518820495, 0, 301]"
"(210, -60, 3, 0)","[199.79109491494393, 0, 372]"
"(210, -60, 4, 0)","[199.7864021151766, 0, 337]"
"(140, -70, 5, 0)","[199.78148149743402, 0, 364]"
"(140, -80, 6, 0)","[199.68811523712387, 0, 224]"
"(140, -80, 7, 0)","[199.77000214190082, 0, 483]"
"(140, -90, 8, 0)","[199.7606480988105, 0, 407]"
"(140, -100, 9, 0)","[199.7605630022891, 0, 364]"
"(140, -120, -9, 0)","[60.09140842156289, 0, 1]"
"(140, -110, -8, 0)","[70.07006872739666, 0, 2]"
"(140, -110, -7, 0)","[59.36378156911582, 0, 1]"
"(140, -100, -6, 0)","[58.9050076831764, 0, 1]"
"(140, -90, -5, 0)","[65.3096285788536, 0, 2]"
"(140, -90, -4, 0)","[57.740853846553, 0, 1]"
"(140, -90, -3, 0)","[57.00684660415556, 0, 1]"
"(140, -90, -2, 0)","[56.14835860135154, 0, 1]"
"(140, -80, -1, 0)","[55.14427906590823, 0, 1]"
"(130, -80, 0, 0)","[56.38692643382254, 0, 2]"
"(130, -90, 1, 0)","[52.59639419432745, 0, 1]"
"(130, -90, 2, 0)","[50.989934730207544, 0, 1]"
"(120, -90, 3, 0)","[49.11103477217257, 0, 1]"
"(120, -90, 4, 0)","[46.91349096160535, 0, 1]"
"(110, -100, 5, 0)","[44.34326428257935, 0, 1]"
"(110, -110, 6, 0)","[41.33715120769514, 0, 1]"
"(110, -110, 7, 0)","[37.82122948268437, 0, 1]"
"(100, -120, 8, 0)","[33.709040330624994, 0, 1]"
"(100, -130, 9, 0)","[28.899462374999995, 0, 1]"
"(90, -140, 10, 0)","[-107.21327241217034, -845.4970105398487, 129]"
"(90, -150, 10, 0)","[-125.07431203212042, -138.6752341031996, 88]"
"(90, -160, 10, 0)","[-143.9778784916099, -837.7134589051657, 62]"
"(80, -170, 10, 0)","[-900.0, -163.60088979916023, 59]"
"(80, -180, 10, 0)","[-900.0, -11.60754715319814, 7]"
"(70, -240, 10, 0)","[183.59983725347132, 0, 2]"
"(420, -20, -9, 0)","[199.98748420481166, 0, 350]"
"(420, -20, -8, 0)","[199.98689559171908, 0, 353]"
"(420, -10, -7, 0)","[199.98636442088292, 0, 350]"
"(350, 0, -6, 0)","[199.98564938471145, 0, 354]"
"(350, 0, -5, 0)","[199.9851590350652, 0, 352]"
"(350, 10, -4, 0)","[199.98438911075618, 0, 350]"
"(350, 10, -3, 0)","[199.9835558816592, 0, 346]"
"(350, 10, -2, 0)","[199.98265207938394, 0, 350]"
"(350, 10, -1, 0)","[199.98256155263292, 0, 352]"
"(350, 10, 0, 0)","[199.98180961326187, 0, 352]"
"(350, 10, 1, 0)","[199.98060506404985, 0, 350]"
"(350, 10, 2, 0)","[199.9795333379405, 0, 346]"
"(350, 10, 3, 0)","[199.97837127799858, 0, 350]"
"(350, 0, 4, 0)","[199.97848494016472, 0, 352]"
"(350, 0, 5, 0)","[199.97660407613273, 0, 354]"
"(350, -10, 6, 0)","[199.97525138302012, 0, 350]"
"(350, -20, 7, 0)","[199.97568997103875, 0, 353]"
"(350, -20, 8, 0)","[199.9734406641091, 0, 350]"
"(350, -30, 9, 0)","[199.97189795017403, 0, 354]"
"(350, -50, 10, 0)","[-81.41978152842589, 199.97069379668744, 711]"
"(280, -60, -7, 0)","[199.93740770803748, 0, 580]"
"(280, -40, -2, 0)","[199.921471552743, 0, 580]"
"(280, -40, 1, 0)","[199.91110918411627, 0, 580]"
"(280, -40, 2, 0)","[199.89822252980633, 0, 655]"
"(280, -40, 3, 0)","[199.8926523227476, 0, 664]"
"(210, -60, 6, 0)","[199.88427416002386, 0, 242]"
"(210, -70, -7, 0)","[199.8544486720216, 0, 580]"
"(210, -50, -3, 0)","[199.7602115909798, 0, 655]"
"(210, -50, -2, 0)","[199.8246815258596, 0, 580]"
"(210, -50, 1, 0)","[199.80354219546308, 0, 580]"
"(210, -50, 2, 0)","[199.6788921001279, 0, 330]"
"(140, -60, 4, 0)","[199.7706829839865, 0, 209]"
"(140, -70, 6, 0)","[199.7788892670087, 0, 580]"
"(140, -110, -9, 0)","[199.8071012119046, 0, 100]"
"(140, -100, -7, 0)","[64.43797123185645, 0, 1]"
"(140, -90, -6, 0)","[64.83973243491982, 0, 1]"
"(140, -80, -4, 0)","[199.84402927228524, 0, 100]"
"(140, -80, -3, 0)","[58.51754122632377, 0, 1]"
"(130, -80, -2, 0)","[57.91525289628512, 0, 1]"
"(130, -80, -1, 0)","[57.21082210091827, 0, 1]"
"(120, -80, 1, 0)","[49.11103477217257, 0, 1]"
"(120, -80, 2, 0)","[46.91349096160535, 0, 1]"
"(110, -80, 3, 0)","[199.40829578890194, 0, 36]"
"(110, -90, 4, 0)","[41.33715120769514, 0, 1]"
"(110, -90, 5, 0)","[37.82122948268437, 0, 1]"
"(100, -100, 6, 0)","[33.709040330624994, 0, 1]"
"(100, -110, 7, 0)","[28.899462374999995, 0, 1]"
"(90, -110, 8, 0)","[-12.679255735025269, 199.63726334852927, 37]"
"(90, -120, 9, 0)","[16.694999999999997, 0, 1]"
"(90, -130, 10, 0)","[-14.243206371466684, -852.8516413986484, 18]"
"(80, -140, 10, 0)","[-900.0, -10.490903597250732, 5]"
"(80, -150, 10, 0)","[-900.0, -24.232702865354945, 3]"
"(70, -160, 10, 0)","[61.50421329428471, 0, 1]"
"(420, -70, -9, 0)","[199.94828317192258, 0, 144]"
"(420, -60, -8, 0)","[199.94533093895282, 0, 205]"
"(420, -50, -7, 0)","[199.94223587201583, 0, 316]"
"(350, -50, -6, 0)","[199.94049700463398, 0, 110]"
"(350, -40, -5, 0)","[199.9338018756672, 0, 267]"
"(350, -40, -4, 0)","[199.9299621837109, 0, 144]"
"(350, -30, -3, 0)","[199.92592418865345, 0, 352]"
"(350, -30, -2, 0)","[199.9210950983225, 0, 316]"
"(350, -30, -1, 0)","[199.9166629442416, 0, 267]"
"(350, -30, 0, 0)","[199.9120342026885, 0, 267]"
"(350, -30, 1, 0)","[199.9072087923146, 0, 316]"
"(350, -30, 2, 0)","[199.9021881675083, 0, 352]"
"(350, -40, 3, 0)","[199.89613727275247, 0, 144]"
"(350, -40, 4, 0)","[199.89077807366422, 0, 267]"
"(350, -50, 5, 0)","[199.88172602278377, 0, 110]"
"(350, -50, 6, 0)","[199.87752910310036, 0, 316]"
"(350, -60, 7, 0)","[199.8714526261516, 0, 205]"
"(350, -70, 8, 0)","[199.86525593362165, 0, 144]"
"(350, -80, 9, 0)","[199.84968009368094, 0, 110]"
"(350, -90, 10, 0)","[199.8436251745465, 0, 458]"
"(350, -100, 10, 0)","[199.830914029721, 0, 110]"
"(280, -110, 10, 0)","[199.82989596233725, 0, 458]"
"(280, -120, 10, 0)","[199.8233750162019, 0, 458]"
"(280, -130, 10, 0)","[199.8170821501154, 0, 458]"
"(280, -140, 10, 0)","[199.81113599989837, 0, 458]"
"(280, -150, 10, 0)","[-426.0745498999865, 199.80568045581973, 458]"
"(280, -160, 10, 0)","[-510.07096518800876, -837.4883517398561, 6]"
"(280, -170, 10, 0)","[-607.4390334286373, -849.2439667584059, 5]"
"(280, -180, 10, 0)","[-719.9949825655224, -847.7073453203906, 4]"
"(280, -240, 10, 0)","[-24.425807633641938, -850.0949923168236, 7]"
"(420, 60, -9, 0)","[199.99310746713317, 0, 379]"
"(420, 60, -8, 0)","[199.99264678795865, 0, 378]"
"(420, 70, -7, 0)","[199.9923717448054, 0, 383]"
"(350, 80, -6, 0)","[199.9923099825239, 0, 388]"
"(350, 80, -5, 0)","[199.99191114198334, 0, 386]"
"(350, 90, -4, 0)","[199.99194821944553, 0, 379]"
"(350, 90, -3, 0)","[199.98857327016157, 0, 394]"
"(350, 90, -2, 0)","[199.99097765271327, 0, 383]"
"(350, 90, -1, 0)","[199.9907996539547, 0, 386]"
"(350, 90, 0, 0)","[199.9906079637256, 0, 386]"
"(350, 90, 1, 0)","[199.99044167100988, 0, 383]"
"(350, 90, 2, 0)","[199.98599055801358, 0, 394]"
"(350, 90, 3, 0)","[199.99007568096323, 0, 379]"
"(350, 80, 4, 0)","[199.98946139197997, 0, 386]"
"(350, 80, 5, 0)","[199.98932118892168, 0, 388]"
"(350, 70, 6, 0)","[199.98883273718656, 0, 383]"
"(350, 60, 7, 0)","[199.98867549838377, 0, 378]"
"(350, 60, 8, 0)","[199.98856659567377, 0, 379]"
"(350, 50, 9, 0)","[199.98806701966643, 0, 388]"
"(350, 30, 10, 0)","[199.9869769608597, 0, 736]"
"(280, -10, -2, 0)","[199.95571312466433, 0, 433]"
"(280, -10, -1, 0)","[199.9462714563599, 0, 369]"
"(210, -10, 3, 0)","[199.87558171023005, 0, 802]"
"(210, -20, 5, 0)","[199.91901290898528, 0, 40]"
"(280, -30, -9, 0)","[199.97737881238504, 0, 2451]"
"(280, -20, -8, 0)","[199.97959675309892, 0, 1886]"
"(280, -10, -7, 0)","[199.97870427179885, 0, 1076]"
"(280, -10, -6, 0)","[199.97402337929043, 0, 2735]"
"(280, 0, -5, 0)","[199.97659020337298, 0, 1367]"
"(280, 0, -4, 0)","[199.9719251293711, 0, 2451]"
"(280, 10, -2, 0)","[199.97361406748286, 0, 1076]"
"(280, 10, -1, 0)","[199.97197037149888, 0, 1367]"
"(280, 10, 0, 0)","[199.9701808684238, 0, 1212]"
"(280, 10, 1, 0)","[199.96822572629625, 0, 811]"
"(210, 0, 3, 0)","[199.96447616344992, 0, 1248]"
"(210, 0, 4, 0)","[199.96281859244485, 0, 868]"
"(210, -10, 5, 0)","[199.96020411223896, 0, 2058]"
"(210, -10, 6, 0)","[199.95778099667953, 0, 935]"
"(210, -20, 7, 0)","[199.95468878482285, 0, 1886]"
"(210, -30, 8, 0)","[199.9474125230414, 0, 2451]"
"(210, -40, 9, 0)","[199.94411422169662, 0, 2735]"
"(210, -50, 10, 0)","[-714.9250426151796, 199.94058545679852, 2735]"
"(210, -50, -9, 0)","[199.9136783692585, 0, 921]"
"(210, -40, -8, 0)","[199.9326832816485, 0, 1331]"
"(210, -30, -7, 0)","[199.93183958530423, 0, 1938]"
"(210, -30, -6, 0)","[199.89836551444944, 0, 672]"
"(210, -20, -5, 0)","[199.92438758542596, 0, 1711]"
"(210, -20, -4, 0)","[199.88988941131365, 0, 921]"
"(210, -20, -3, 0)","[199.88382964867844, 0, 552]"
"(140, -10, 0, 0)","[199.69923824290393, 0, 897]"
"(140, -10, 1, 0)","[199.66346301066164, 0, 1275]"
"(140, -20, 2, 0)","[46.91349096160535, 0, 1]"
"(140, -20, 3, 0)","[199.79622558442514, 0, 289]"
