A,B
"(0, 0, 0, 0)","[61.50421329428471, 0, 2]"
"(420, 40, -9, 0)","[199.9935795220755, 0, 349]"
"(420, 50, -8, 0)","[199.9933870004058, 0, 349]"
"(420, 60, -7, 0)","[199.99316924860878, 0, 361]"
"(350, 60, -6, 0)","[199.9929168337543, 0, 344]"
"(350, 70, -5, 0)","[199.99265679820383, 0, 356]"
"(350, 70, -4, 0)","[199.99238059299208, 0, 349]"
"(350, 80, -3, 0)","[199.99143132359848, 0, 341]"
"(350, 80, -2, 0)","[199.99197214448256, 0, 361]"
"(350, 80, -1, 0)","[199.99164509161992, 0, 356]"
"(350, 80, 0, 0)","[199.99129827111196, 0, 356]"
"(350, 80, 1, 0)","[199.99093033209186, 0, 361]"
"(350, 80, 2, 0)","[199.99030845882012, 0, 341]"
"(350, 70, 3, 0)","[199.9903120762796, 0, 349]"
"(350, 70, 4, 0)","[199.98992305592998, 0, 356]"
"(350, 60, 5, 0)","[199.98946411388465, 0, 344]"
"(350, 60, 6, 0)","[199.98898053833375, 0, 361]"
"(350, 50, 7, 0)","[199.98846565025062, 0, 349]"
"(350, 40, 8, 0)","[199.98792931556972, 0, 349]"
"(350, 30, 9, 0)","[199.98730543055387, 0, 344]"
"(350, 20, 10, 0)","[199.98619084111786, 0, 692]"
"(350, 10, 10, 0)","[199.98577085648407, 0, 687]"
"(280, 0, 10, 0)","[199.98466161451003, 0, 1403]"
"(280, -10, 10, 0)","[199.98388380695792, 0, 1746]"
"(280, -20, 10, 0)","[199.9830767799744, 0, 2062]"
"(280, -30, 10, 0)","[199.98009494419566, 0, 2398]"
"(280, -40, 10, 0)","[-421.3545634518478, 199.9787963679852, 2740]"
"(280, -50, 10, 0)","[199.95060133327019, -818.2728322722744, 395]"
"(280, -60, 10, 0)","[199.94817363100165, -850.6315699611972, 394]"
"(280, -70, 10, 0)","[199.94559318673402, -849.2439667584059, 393]"
"(280, -80, 10, 0)","[-900.0, 199.9440760918423, 737]"
"(280, -90, 10, 0)","[-28.714258578296224, 199.94568218029104, 366]"
"(420, 10, -9, 0)","[199.99340656255268, 0, 341]"
"(420, 20, -8, 0)","[199.99262765432715, 0, 336]"
"(420, 30, -7, 0)","[199.99035773992424, 0, 317]"
"(350, 30, -6, 0)","[199.9925475663042, 0, 336]"
"(350, 40, -5, 0)","[199.98976549996837, 0, 320]"
"(350, 40, -4, 0)","[199.9918058148443, 0, 341]"
"(350, 40, -3, 0)","[199.99139671001032, 0, 336]"
"(350, 50, -2, 0)","[199.98903363941167, 0, 317]"
"(350, 50, -1, 0)","[199.9885917804841, 0, 320]"
"(350, 50, 0, 0)","[199.98810582280854, 0, 320]"
"(350, 50, 1, 0)","[199.98756824550168, 0, 317]"
"(350, 40, 2, 0)","[199.9888807444391, 0, 336]"
"(350, 40, 3, 0)","[199.988263792481, 0, 341]"
"(350, 40, 4, 0)","[199.98647377297374, 0, 320]"
"(350, 30, 5, 0)","[199.986891853737, 0, 336]"
"(350, 30, 6, 0)","[199.98552350309507, 0, 317]"
"(350, 20, 7, 0)","[199.9862953926814, 0, 336]"
"(350, 10, 8, 0)","[199.98446701673066, 0, 341]"
"(350, 0, 9, 0)","[199.98350744616783, 0, 336]"
"(350, -10, 10, 0)","[199.9824672866949, 0, 652]"
"(350, -20, 10, 0)","[199.9813346772178, 0, 678]"
"(280, -70, -9, 0)","[199.9412773725537, 0, 665]"
"(280, -60, -8, 0)","[199.93834935866172, 0, 526]"
"(280, -50, -7, 0)","[199.93529139623072, 0, 296]"
"(280, -50, -6, 0)","[199.93204868227156, 0, 736]"
"(280, -40, -5, 0)","[199.92860356183417, 0, 365]"
"(280, -40, -4, 0)","[199.92498819040128, 0, 665]"
"(280, -40, -3, 0)","[199.921134218754, 0, 656]"
"(280, -30, -2, 0)","[199.91707799353767, 0, 296]"
"(280, -30, -1, 0)","[199.9128137305056, 0, 365]"
"(280, -30, 0, 0)","[199.90826884332594, 0, 365]"
"(280, -30, 1, 0)","[199.90341571291788, 0, 296]"
"(210, -40, 2, 0)","[199.79879581135452, 0, 80]"
"(210, -40, 3, 0)","[46.91349096160535, 0, 1]"
"(210, -40, 4, 0)","[199.89044054151424, 0, 182]"
"(210, -50, 5, 0)","[199.88633682513523, 0, 391]"
"(210, -50, 6, 0)","[199.88012980380896, 0, 149]"
"(210, -60, 7, 0)","[199.86795867004227, 0, 526]"
"(210, -70, 8, 0)","[199.86011265345564, 0, 665]"
"(210, -80, 9, 0)","[199.85165173323173, 0, 736]"
"(210, -90, 10, 0)","[-898.3305, 199.84262511661552, 738]"
"(210, -100, 10, 0)","[-27.34978970087709, 199.87097058386686, 367]"
"(210, -110, 10, 0)","[-900.0, 0, 1]"
"(210, -120, 10, 0)","[-28.214780456806267, 0, 2]"
"(420, 30, -9, 0)","[199.99244144447454, 0, 344]"
"(420, 40, -8, 0)","[199.99218323587803, 0, 342]"
"(420, 50, -7, 0)","[199.99191481249207, 0, 322]"
"(350, 50, -6, 0)","[199.9916348923598, 0, 343]"
"(350, 60, -5, 0)","[199.99156247090957, 0, 317]"
"(350, 60, -4, 0)","[199.99128428052666, 0, 344]"
"(350, 70, -3, 0)","[199.99209401488238, 0, 337]"
"(350, 70, -2, 0)","[199.99093930018407, 0, 322]"
"(350, 70, -1, 0)","[199.99064489711014, 0, 317]"
"(350, 70, 0, 0)","[199.99033449288206, 0, 317]"
"(350, 70, 1, 0)","[199.99000341421123, 0, 322]"
"(350, 70, 2, 0)","[199.99054279182505, 0, 337]"
"(350, 60, 3, 0)","[199.9896348967834, 0, 344]"
"(350, 60, 4, 0)","[199.98927314487622, 0, 317]"
"(350, 50, 5, 0)","[199.988879676026, 0, 343]"
"(350, 50, 6, 0)","[199.98884656967806, 0, 322]"
"(350, 40, 7, 0)","[199.9884351965448, 0, 342]"
"(350, 30, 8, 0)","[199.987984975129, 0, 344]"
"(350, 20, 9, 0)","[199.9874841209233, 0, 343]"
"(350, 0, 10, 0)","[199.98416804205698, 0, 659]"
"(280, -60, -9, 0)","[59.36378156911582, 0, 1]"
"(280, -50, -8, 0)","[58.9050076831764, 0, 1]"
"(280, -40, -7, 0)","[58.36843003880282, 0, 1]"
"(280, -40, -6, 0)","[57.740853846553, 0, 1]"
"(280, -30, -5, 0)","[57.00684660415556, 0, 1]"
"(280, -30, -4, 0)","[56.14835860135154, 0, 1]"
"(280, -20, -3, 0)","[55.14427906590823, 0, 1]"
"(280, -20, -2, 0)","[53.96991703614997, 0, 1]"
"(280, -20, -1, 0)","[52.59639419432745, 0, 1]"
"(280, -20, 0, 0)","[50.989934730207544, 0, 1]"
"(210, -20, 1, 0)","[199.85432327197555, 0, 394]"
"(210, -20, 2, 0)","[199.8586870088096, 0, 552]"
"(210, -30, 3, 0)","[199.69283905632187, 0, 36]"
"(210, -30, 4, 0)","[199.67346382079825, 0, 330]"
"(210, -40, 5, 0)","[37.82122948268437, 0, 1]"
"(210, -40, 6, 0)","[199.5879706432938, 0, 221]"
"(210, -50, 7, 0)","[28.899462374999995, 0, 1]"
"(210, -60, 8, 0)","[23.274224999999994, 0, 1]"
"(210, -70, 9, 0)","[16.694999999999997, 0, 1]"
"(210, -80, 10, 0)","[-715.6716781586271, 96.49436444757998, 3]"
"(420, 70, -9, 0)","[199.99410221083423, 0, 288]"
"(420, 80, -8, 0)","[199.99381397606, 0, 220]"
"(420, 90, -7, 0)","[199.99519208439867, 0, 121]"
"(350, 90, -6, 0)","[199.9932139982714, 0, 323]"
"(350, 100, -5, 0)","[199.99268301506748, 0, 156]"
"(350, 100, -4, 0)","[199.99281754569068, 0, 288]"
"(350, 110, -3, 0)","[199.99369248437037, 0, 38]"
"(350, 110, -2, 0)","[199.99319241331847, 0, 121]"
"(350, 110, -1, 0)","[199.9903875563985, 0, 156]"
"(350, 110, 0, 0)","[199.98961435168374, 0, 156]"
"(350, 110, 1, 0)","[199.9914786585333, 0, 121]"
"(350, 110, 2, 0)","[199.99079123230376, 0, 38]"
"(350, 100, 3, 0)","[199.99047067854, 0, 288]"
"(350, 100, 4, 0)","[199.9866638332218, 0, 156]"
"(350, 90, 5, 0)","[199.98980799997986, 0, 323]"
"(350, 90, 6, 0)","[199.9870416239382, 0, 121]"
"(350, 80, 7, 0)","[199.9889013086522, 0, 220]"
"(350, 70, 8, 0)","[199.98888508309233, 0, 288]"
"(350, 60, 9, 0)","[199.98866332456325, 0, 323]"
"(350, 50, 10, 0)","[199.98817284181925, 0, 323]"
"(350, 40, 10, 0)","[199.98764173248247, 0, 711]"
"(280, 30, 10, 0)","[199.98691403129283, 0, 323]"
"(280, 20, 10, 0)","[199.98619394756057, 0, 711]"
"(280, 10, 10, 0)","[199.98541952175225, 0, 1059]"
"(280, -50, -9, 0)","[199.96452071442428, 0, 40]"
"(280, -40, -8, 0)","[199.96374161092484, 0, 231]"
"(280, -30, -7, 0)","[199.965310604157, 0, 434]"
"(280, -30, -6, 0)","[55.14427906590823, 0, 1]"
"(280, -20, -5, 0)","[199.9568438643447, 0, 370]"
"(280, -20, -4, 0)","[199.9542263689512, 0, 75]"
"(280, -10, -3, 0)","[199.95734780822988, 0, 592]"
"(210, -10, -2, 0)","[199.91511239122985, 0, 1737]"
"(210, -10, -1, 0)","[199.90547849750175, 0, 1341]"
"(210, -10, 0, 0)","[199.90278877692347, 0, 1174]"
"(210, -10, 1, 0)","[199.90134836531794, 0, 1096]"
"(210, -10, 2, 0)","[199.88944039088312, 0, 918]"
"(210, -20, 3, 0)","[199.86698990280252, 0, 704]"
"(210, -20, 4, 0)","[199.86009912203835, 0, 506]"
"(210, -30, 5, 0)","[199.8615375035277, 0, 672]"
"(210, -30, 6, 0)","[199.84142825281702, 0, 139]"
"(210, -40, 7, 0)","[28.346533066124998, 0, 2]"
"(210, -50, 8, 0)","[-900.0, 199.8981973535676, 40]"
"(210, -60, 9, 0)","[-900.0, 0, 1]"
"(210, -60, 10, 0)","[-893.6324540721611, 199.91579172830973, 675]"
"(420, -10, -9, 0)","[199.98488883240984, 0, 395]"
"(420, 0, -8, 0)","[199.98400746266367, 0, 374]"
"(420, 10, -7, 0)","[199.98309623028416, 0, 350]"
"(350, 10, -6, 0)","[199.98214177063397, 0, 390]"
"(350, 20, -5, 0)","[199.98108400574102, 0, 344]"
"(350, 20, -4, 0)","[199.9799991411269, 0, 395]"
"(350, 30, -3, 0)","[199.98893283144076, 0, 337]"
"(350, 30, -2, 0)","[199.97749199573988, 0, 350]"
"(350, 30, -1, 0)","[199.97613456781872, 0, 344]"
"(350, 30, 0, 0)","[199.9747192053961, 0, 344]"
"(350, 30, 1, 0)","[199.9732585146708, 0, 350]"
"(350, 30, 2, 0)","[199.98639977906078, 0, 337]"
"(350, 20, 3, 0)","[199.97007297819653, 0, 395]"
"(350, 20, 4, 0)","[199.9682246172282, 0, 344]"
"(350, 10, 5, 0)","[199.96643489534443, 0, 390]"
"(350, 10, 6, 0)","[199.96436715556092, 0, 350]"
"(350, 0, 7, 0)","[199.96240704169395, 0, 374]"
"(350, -10, 8, 0)","[199.9604818530437, 0, 395]"
"(350, -20, 9, 0)","[199.9582363262642, 0, 390]"
"(350, -30, 10, 0)","[199.9557960783973, 0, 732]"
"(350, -40, 10, 0)","[199.97025641261965, 0, 744]"
"(280, -40, -9, 0)","[199.96955060691147, 0, 600]"
"(280, -30, -8, 0)","[199.97582424697737, 0, 1331]"
"(280, -20, -7, 0)","[199.97545021747695, 0, 1938]"
"(280, -20, -6, 0)","[199.96391445551478, 0, 712]"
"(280, -10, -5, 0)","[199.97225103465755, 0, 1711]"
"(280, -10, -4, 0)","[199.95932384747846, 0, 922]"
"(280, 0, -3, 0)","[199.9700630029163, 0, 2351]"
"(280, 0, -2, 0)","[199.96798486130427, 0, 1938]"
"(280, 0, -1, 0)","[199.96644096494035, 0, 1711]"
"(280, 0, 0, 0)","[199.96611391064073, 0, 1544]"
"(280, 0, 1, 0)","[199.9661494439837, 0, 1494]"
"(280, 0, 2, 0)","[199.9636272696305, 0, 1475]"
"(280, -10, 3, 0)","[199.940936167992, 0, 769]"
"(280, -10, 4, 0)","[199.95757557865988, 0, 837]"
"(280, -20, 5, 0)","[199.93117131005067, 0, 711]"
"(280, -20, 6, 0)","[199.92749592049694, 0, 480]"
"(210, -30, 7, 0)","[199.95087392856556, 0, 889]"
"(210, -40, 8, 0)","[199.92221395784225, 0, 600]"
"(210, -50, 9, 0)","[199.91827727326296, 0, 673]"
"(210, -70, 10, 0)","[-899.1, 0, 2]"
"(210, -80, -9, 0)","[199.83300617779176, 0, 665]"
"(210, -70, -8, 0)","[199.8227729680378, 0, 526]"
"(210, -60, -7, 0)","[199.8119108458011, 0, 296]"
"(210, -60, -6, 0)","[199.80023013810018, 0, 736]"
"(210, -50, -5, 0)","[199.7876861470988, 0, 365]"
"(210, -50, -4, 0)","[199.77440154428484, 0, 665]"
"(210, -40, -3, 0)","[199.80234383712107, 0, 144]"
"(210, -40, -2, 0)","[199.7452629748159, 0, 296]"
"(210, -40, -1, 0)","[199.72959483798908, 0, 365]"
"(210, -40, 0, 0)","[199.71318693445463, 0, 365]"
"(210, -40, 1, 0)","[199.6962002065074, 0, 296]"
"(140, -40, 2, 0)","[198.5470114301397, 0, 100]"
"(140, -50, 3, 0)","[199.65533852695643, 0, 356]"
"(140, -50, 4, 0)","[199.62424535959235, 0, 182]"
"(140, -60, 5, 0)","[199.56607351262164, 0, 736]"
"(140, -60, 6, 0)","[199.5383026566375, 0, 296]"
"(140, -70, 7, 0)","[199.51042362088202, 0, 526]"
"(140, -80, 8, 0)","[199.4832157416653, 0, 665]"
"(140, -90, 9, 0)","[199.4579053190916, 0, 736]"
"(140, -100, 10, 0)","[199.4352804981021, 0, 736]"
"(140, -110, 10, 0)","[-601.832334825626, 199.41668128266548, 1100]"
"(140, -120, 10, 0)","[-715.6716781586271, -841.0820280085549, 3]"
"(140, -130, 10, 0)","[-900.0, -848.6218457995637, 2]"
"(140, -140, 10, 0)","[-27.934145179799813, 0, 2]"
"(420, -50, -9, 0)","[199.97733021635557, 0, 372]"
"(420, -40, -8, 0)","[199.97618660126784, 0, 368]"
"(420, -40, -7, 0)","[199.95877307729768, 0, 366]"
"(350, -30, -6, 0)","[199.97294589800458, 0, 364]"
"(350, -20, -5, 0)","[199.97152352371978, 0, 337]"
"(350, -20, -4, 0)","[199.96954386284287, 0, 372]"
"(350, -20, -3, 0)","[199.96781757762713, 0, 376]"
"(350, -20, -2, 0)","[199.94301467039622, 0, 366]"
"(350, -10, -1, 0)","[199.9663912291274, 0, 337]"
"(350, -10, 0, 0)","[199.96420739235805, 0, 337]"
"(350, -20, 1, 0)","[199.92885038331318, 0, 366]"
"(350, -20, 2, 0)","[199.95921259706464, 0, 376]"
"(350, -20, 3, 0)","[199.96134769335706, 0, 372]"
"(350, -20, 4, 0)","[199.95925519118168, 0, 337]"
"(350, -30, 5, 0)","[199.9568872863378, 0, 364]"
"(350, -40, 6, 0)","[199.89408199157504, 0, 366]"
"(350, -40, 7, 0)","[199.9516291897319, 0, 368]"
"(350, -50, 8, 0)","[199.9486644660413, 0, 372]"
"(350, -60, 9, 0)","[199.9454238836044, 0, 364]"
"(350, -70, 10, 0)","[199.9463733292029, 0, 709]"
"(350, -80, 10, 0)","[199.93869782446404, 0, 712]"
"(280, -80, -9, 0)","[199.94295964484175, 0, 407]"
"(280, -70, -8, 0)","[199.94016784919197, 0, 483]"
"(280, -70, -7, 0)","[199.94079372208267, 0, 224]"
"(280, -60, -6, 0)","[199.9345642270028, 0, 364]"
"(280, -50, -5, 0)","[199.93141488883123, 0, 546]"
"(280, -50, -4, 0)","[199.92833648571417, 0, 407]"
"(280, -50, -3, 0)","[199.92493101375013, 0, 301]"
"(280, -50, -2, 0)","[199.9242732774847, 0, 224]"
"(280, -40, -1, 0)","[199.91805585910078, 0, 546]"
"(280, -40, 0, 0)","[199.9145940902174, 0, 546]"
