A,B
"(280, 20, 10, 0)","[199.704787387664, 0, 656]"
"(280, 10, 10, 0)","[199.68873789961134, 0, 1006]"
"(280, 0, 10, 0)","[199.67167990859193, 0, 1342]"
"(280, -10, 10, 0)","[199.6539573781387, 0, 1696]"
"(280, -20, 10, 0)","[199.63564568189747, 0, 2042]"
"(420, 50, -9, 0)","[199.88652069054726, 0, 366]"
"(420, 50, -8, 0)","[199.87380306346017, 0, 325]"
"(420, 60, -7, 0)","[199.86731012298236, 0, 347]"
"(350, 70, -6, 0)","[199.8638654058255, 0, 350]"
"(350, 70, -5, 0)","[199.85153020515676, 0, 340]"
"(350, 80, -4, 0)","[199.84998266527228, 0, 366]"
"(350, 80, -3, 0)","[199.83704321632797, 0, 369]"
"(350, 80, -2, 0)","[199.8261490309742, 0, 347]"
"(350, 80, -1, 0)","[199.81622641604184, 0, 340]"
"(350, 80, 0, 0)","[199.807278903752, 0, 340]"
"(350, 80, 1, 0)","[199.798708552477, 0, 347]"
"(350, 80, 2, 0)","[199.7919699472277, 0, 369]"
"(350, 80, 3, 0)","[199.7872513996203, 0, 366]"
"(350, 70, 4, 0)","[199.77113888651812, 0, 340]"
"(350, 70, 5, 0)","[199.76639829665677, 0, 350]"
"(350, 60, 6, 0)","[199.75294118883357, 0, 347]"
"(350, 50, 7, 0)","[199.74062843977097, 0, 325]"
"(350, 50, 8, 0)","[199.74183665416035, 0, 366]"
"(350, 40, 9, 0)","[199.72974057550306, 0, 350]"
"(350, 20, 10, 0)","[199.70419084797385, 0, 686]"
"(280, -50, -9, 0)","[199.5536071419753, 0, 620]"
"(280, -50, -8, 0)","[199.4898404349642, 0, 381]"
"(280, -40, -7, 0)","[199.4755999125781, 0, 352]"
"(280, -30, -6, 0)","[199.48104028246524, 0, 352]"
"(280, -30, -5, 0)","[199.43578309424166, 0, 360]"
"(280, -20, -4, 0)","[199.4504714595186, 0, 620]"
"(280, -20, -3, 0)","[199.42136543344074, 0, 360]"
"(280, -20, -2, 0)","[199.39680228732692, 0, 352]"
"(280, -20, -1, 0)","[199.37101950748067, 0, 360]"
"(210, -20, 0, 0)","[198.2004240672097, 0, 171]"
"(210, -20, 1, 0)","[198.11073938045962, 0, 142]"
"(210, -20, 2, 0)","[198.00592828505071, 0, 70]"
"(210, -20, 3, 0)","[199.22340461540742, 0, 287]"
"(210, -30, 4, 0)","[197.80421220644894, 0, 169]"
"(210, -30, 5, 0)","[33.64461448660174, 0, 1]"
"(210, -40, 6, 0)","[28.85211294885925, 0, 1]"
"(210, -50, 7, 0)","[199.03743866898446, 0, 381]"
"(210, -50, 8, 0)","[199.18353499858034, 0, 620]"
"(210, -60, 9, 0)","[198.91852570823974, 0, 352]"
"(210, -70, 10, 0)","[-899.3599999999998, 198.86802716321586, 353]"
"(210, -80, 10, 0)","[-899.3599999999998, 198.87038470207517, 375]"
"(210, -90, 10, 0)","[61.94117745391501, 0, 1]"
"(420, 30, -9, 0)","[199.87297728692687, 0, 367]"
"(420, 40, -8, 0)","[199.8658636148985, 0, 370]"
"(420, 40, -7, 0)","[199.84946225283625, 0, 345]"
"(350, 50, -6, 0)","[199.84874345074172, 0, 354]"
"(350, 50, -5, 0)","[199.83101636911098, 0, 355]"
"(350, 60, -4, 0)","[199.83312592724366, 0, 367]"
"(350, 60, -3, 0)","[199.81918441187167, 0, 347]"
"(350, 60, -2, 0)","[199.80742065875384, 0, 345]"
"(350, 60, -1, 0)","[199.79588043970966, 0, 355]"
"(350, 60, 0, 0)","[199.78459749582794, 0, 355]"
"(350, 60, 1, 0)","[199.7760596786302, 0, 345]"
"(350, 60, 2, 0)","[199.77162269332308, 0, 347]"
"(350, 60, 3, 0)","[199.76885535036612, 0, 367]"
"(350, 50, 4, 0)","[199.7442880317331, 0, 355]"
"(350, 50, 5, 0)","[199.74659486556848, 0, 354]"
"(350, 40, 6, 0)","[199.7286235604107, 0, 345]"
"(350, 40, 7, 0)","[199.73320314292286, 0, 370]"
"(350, 30, 8, 0)","[199.71869097983918, 0, 367]"
"(350, 20, 9, 0)","[199.70191234529233, 0, 354]"
"(350, 10, 10, 0)","[199.6882574500231, 0, 690]"
"(350, 0, 10, 0)","[199.66834285113413, 0, 700]"
"(280, -40, -9, 0)","[199.55868055714294, 0, 2819]"
"(280, -30, -8, 0)","[199.5375128281306, 0, 2179]"
"(280, -30, -7, 0)","[199.51945351539072, 0, 2026]"
"(280, -20, -6, 0)","[199.50039147708804, 0, 3132]"
"(280, -20, -5, 0)","[199.47801362541, 0, 1759]"
"(280, -10, -4, 0)","[199.4585008498116, 0, 2819]"
"(280, -10, -3, 0)","[199.43609004539235, 0, 2613]"
"(280, -10, -2, 0)","[199.41456785693492, 0, 2026]"
"(280, -10, -1, 0)","[199.38913373280315, 0, 1594]"
"(280, -10, 0, 0)","[199.39537141435085, 0, 1404]"
"(280, -10, 1, 0)","[199.394689458537, 0, 1398]"
"(280, -10, 2, 0)","[199.4166877514873, 0, 1501]"
"(210, -10, 3, 0)","[199.15496115088484, 0, 2500]"
"(210, -20, 4, 0)","[199.2392979403501, 0, 1407]"
"(210, -20, 5, 0)","[199.30165747997563, 0, 2759]"
"(210, -30, 6, 0)","[199.35769316137143, 0, 1663]"
"(210, -30, 7, 0)","[199.37601007917257, 0, 2179]"
"(210, -40, 8, 0)","[199.34390684754703, 0, 2819]"
"(210, -50, 9, 0)","[-590.6386112364453, 199.31160375064036, 3132]"
"(210, -60, 10, 0)","[-716.0509016052438, -800.5473574065757, 5]"
"(210, -60, -9, 0)","[198.81517032234495, 0, 307]"
"(210, -50, -8, 0)","[198.75921829918423, 0, 240]"
"(210, -50, -7, 0)","[198.70897670139158, 0, 352]"
"(210, -40, -6, 0)","[198.64910883541842, 0, 352]"
"(210, -40, -5, 0)","[198.58801551858724, 0, 360]"
"(210, -30, -4, 0)","[198.50858740717834, 0, 307]"
"(210, -30, -3, 0)","[198.44712005863914, 0, 360]"
"(210, -30, -2, 0)","[198.3738879635918, 0, 352]"
"(210, -30, -1, 0)","[198.292008426798, 0, 360]"
"(140, -30, 0, 0)","[194.88785400860274, 0, 360]"
"(140, -30, 1, 0)","[194.61466848966174, 0, 352]"
"(140, -30, 2, 0)","[194.06205992145, 0, 360]"
"(140, -30, 3, 0)","[44.19773721986159, 0, 1]"
"(140, -40, 4, 0)","[41.21293456155366, 0, 1]"
"(140, -40, 5, 0)","[197.68821544919334, 0, 352]"
"(140, -50, 6, 0)","[197.60666803612054, 0, 352]"
"(140, -50, 7, 0)","[197.42858809178114, 0, 240]"
"(140, -60, 8, 0)","[197.2900652463341, 0, 307]"
"(140, -70, 9, 0)","[-70.88163289220678, 197.13634570979468, 352]"
"(140, -80, 10, 0)","[-96.53881676779164, -841.2073236966172, 4]"
"(140, -90, 10, 0)","[-31.534447755324138, -916.6371391267409, 4]"
"(140, -100, 10, 0)","[-899.1999999999998, 69.25553124193165, 2]"
"(140, -110, 10, 0)","[92.02531124246714, 0, 1]"
"(350, 60, -5, 0)","[199.8439197239514, 0, 344]"
"(350, 70, -1, 0)","[199.80774197239367, 0, 344]"
"(350, 70, 0, 0)","[199.79810553585494, 0, 344]"
"(350, 60, 4, 0)","[199.76306081419736, 0, 344]"
"(280, -10, -5, 0)","[199.4758090792895, 0, 1541]"
"(280, 0, -1, 0)","[199.35408521446777, 0, 1404]"
"(280, 0, 0, 0)","[199.38020920685122, 0, 1241]"
"(210, -10, 4, 0)","[199.2635578546506, 0, 1373]"
"(210, -50, -9, 0)","[199.2839283041622, 0, 317]"
"(210, -40, -8, 0)","[199.24852161425895, 0, 953]"
"(210, -40, -7, 0)","[198.7048228987721, 0, 143]"
"(210, -30, -6, 0)","[86.92738124319915, 0, 4]"
"(210, -20, -5, 0)","[199.1753105810395, 0, 1590]"
"(210, -20, -4, 0)","[199.1390089675867, 0, 317]"
"(210, -20, -3, 0)","[198.3922296232089, 0, 71]"
"(210, -20, -2, 0)","[198.36301036959725, 0, 142]"
"(210, -10, -1, 0)","[199.15560024017012, 0, 1399]"
"(210, -10, 0, 0)","[199.18027856599912, 0, 1419]"
"(140, -20, 1, 0)","[194.0693371974157, 0, 140]"
"(140, -20, 2, 0)","[193.39774670938374, 0, 70]"
"(140, -20, 3, 0)","[198.6490049402277, 0, 214]"
"(140, -20, 4, 0)","[198.55596270255853, 0, 1220]"
"(140, -30, 5, 0)","[38.62293332006103, 0, 4]"
"(140, -40, 6, 0)","[197.55425339140254, 0, 143]"
"(140, -40, 7, 0)","[-713.1479064242055, 198.28528114799786, 953]"
"(140, -50, 8, 0)","[-892.1855846568724, -847.9748225745607, 5]"
"(140, -60, 9, 0)","[-841.8367584899198, 0, 4]"
"(140, -70, 10, 0)","[-601.2158488752148, -809.0643141564992, 8]"
"(140, -80, -9, 0)","[197.1188773224268, 0, 37]"
"(140, -70, -8, 0)","[196.94844986441657, 0, 111]"
"(140, -70, -7, 0)","[76.90748698751531, 0, 3]"
"(140, -60, -6, 0)","[65.16542860709453, 0, 2]"
"(140, -50, -5, 0)","[196.36459331531785, 0, 199]"
"(130, -50, -4, 0)","[53.686153546797264, 0, 1]"
"(130, -50, -3, 0)","[52.3315554682858, 0, 1]"
"(130, -50, -2, 0)","[50.745538478805244, 0, 1]"
"(120, -40, -1, 0)","[48.88856707834001, 0, 1]"
"(120, -40, 0, 0)","[46.71435154028627, 0, 1]"
"(110, -50, 1, 0)","[44.16869402249685, 0, 1]"
"(110, -50, 2, 0)","[41.188137548469086, 0, 1]"
"(110, -50, 3, 0)","[37.698384181102064, 0, 1]"
"(100, -50, 4, 0)","[182.8317220158465, 0, 61]"
"(100, -60, 5, 0)","[182.60279863294338, 0, 27]"
"(90, -70, 6, 0)","[181.2318479661611, 0, 100]"
"(90, -70, 7, 0)","[176.64347660527164, 0, 236]"
"(90, -80, 8, 0)","[174.05613982059018, 0, 232]"
"(80, -90, 9, 0)","[-899.0399999999997, 171.11952944504736, 135]"
"(80, -100, 10, 0)","[-989.4678527999998, 167.10814304855262, 345]"
"(70, -110, 10, 0)","[-56.22926013712957, -115.31485993591083, 9]"
"(420, 0, -9, 0)","[199.8325628159806, 0, 382]"
"(420, 10, -7, 0)","[199.7932616039193, 0, 362]"
"(350, 20, -6, 0)","[199.8030441928627, 0, 373]"
"(350, 20, -5, 0)","[199.77539183014636, 0, 369]"
"(350, 30, -4, 0)","[199.79033668798616, 0, 382]"
"(350, 30, -3, 0)","[199.76804789444515, 0, 365]"
"(350, 30, -2, 0)","[199.74858507472618, 0, 362]"
"(350, 30, -1, 0)","[199.73235273515365, 0, 369]"
"(350, 30, 0, 0)","[199.71306758889477, 0, 369]"
"(350, 30, 1, 0)","[199.7147422828374, 0, 362]"
"(350, 30, 2, 0)","[199.70865468957658, 0, 365]"
"(350, 30, 3, 0)","[199.71490366836167, 0, 382]"
"(350, 20, 4, 0)","[199.67998585579753, 0, 369]"
"(350, 20, 5, 0)","[199.6893530274087, 0, 373]"
"(350, 10, 6, 0)","[199.65822609154804, 0, 362]"
"(350, 0, 8, 0)","[199.65631699475176, 0, 382]"
"(350, -10, 9, 0)","[199.63493735059993, 0, 373]"
"(280, -40, -8, 0)","[199.53919945314448, 0, 1190]"
"(280, -10, 3, 0)","[199.39751271850173, 0, 1308]"
"(280, -20, 4, 0)","[199.3634180566621, 0, 722]"
"(280, -20, 5, 0)","[199.40590857023216, 0, 741]"
"(210, -40, 7, 0)","[199.29454104995582, 0, 1190]"
"(210, -30, -5, 0)","[198.57935948748516, 0, 170]"
"(210, -20, -1, 0)","[198.2851330375936, 0, 170]"
"(140, -30, 4, 0)","[75.47110521859997, 0, 2]"
"(140, -70, -9, 0)","[197.05626928881816, 0, 384]"
"(140, -60, -7, 0)","[196.73966142209184, 0, 235]"
"(140, -50, -6, 0)","[196.5415590580776, 0, 374]"
"(140, -40, -4, 0)","[196.10156478407305, 0, 384]"
